fips,cases
1001,2979
1003,9626
1005,1219
1007,1283
1009,3281
1011,713
1013,1225
1015,7027
1017,1901
1019,1090
1021,2372
1023,438
1025,1660
1027,956
1029,819
1031,2637
1033,3516
1035,735
1037,393
1039,2358
1041,741
1043,4985
1045,2510
1047,2378
1049,5282
1051,4446
1053,2096
1055,7168
1057,1045
1059,2685
1061,1305
1063,466
1065,1024
1067,921
1069,5650
1071,3839
1073,36002
1075,744
1077,4593
1079,1421
1081,8131
1083,4697
1085,833
1087,778
1089,14854
1091,1292
1093,1530
1095,7063
1097,20764
1099,855
1101,12919
1103,7512
1105,706
1107,1306
1109,1660
1111,1083
1113,2350
1115,4733
1117,11450
1119,612
1121,3911
1123,1928
1125,14065
1127,3950
1129,944
1131,662
1133,1472
0,22
2013,31
2016,19
2020,17806
2050,1682
2060,0
2068,42
2070,82
2090,3617
2100,11
2105,43
2110,794
2122,2736
2130,188
2150,387
2158,458
2164,81
2170,4662
2180,241
2185,509
2188,354
2195,18
2198,56
2220,204
2230,11
2240,301
2261,225
2270,0
2275,15
2282,0
2290,180
0,0
4001,5823
4003,4252
4005,8086
4007,3262
4009,2340
4011,286
4012,969
4013,225782
4015,7114
4017,8707
4019,43930
4021,18436
4023,4322
4025,6356
4027,19235
0,2598
5001,1029
5003,942
5005,1536
5007,13131
5009,1985
5011,577
5013,161
5015,1592
5017,1256
5019,921
5021,1017
5023,810
5025,409
5027,1188
5029,774
5031,7698
5033,3331
5035,3489
5037,943
5039,342
5041,651
5043,944
5045,5301
5047,870
5049,588
5051,4112
5053,671
5055,3318
5057,925
5059,3014
5061,859
5063,2227
5065,1027
5067,2023
5069,5437
5071,1343
5073,274
5075,1250
5077,1247
5079,2560
5081,670
5083,1051
5085,2966
5087,741
5089,480
5091,2254
5093,3483
5095,332
5097,340
5099,492
5101,472
5103,920
5105,279
5107,1005
5109,431
5111,1786
5113,921
5115,3992
5117,378
5119,18014
5121,1081
5123,2178
5125,5449
5127,421
5129,348
5131,7455
5133,1794
5135,789
5137,535
5139,1671
5141,448
5143,16616
5145,3230
5147,216
5149,1774
0,0
6000,21
6001,31740
6003,5
6005,545
6007,4417
6009,556
6011,789
6013,26355
6015,411
6017,2822
6019,40108
6021,1018
6023,1014
6025,16555
6027,328
6029,44327
6031,11911
6033,1022
6035,2422
6037,439408
6039,6537
6041,7964
6043,155
6045,1697
6047,12891
6049,181
6051,354
6053,16190
6055,3388
6057,1569
6059,84853
6061,6910
6063,94
6065,87945
6067,41096
6069,2124
6071,103911
6073,90468
6075,16479
6077,27469
6079,6540
6081,15468
6083,11917
6085,38388
6087,4797
6089,5490
6091,24
6093,786
6095,11413
6097,13098
6099,23763
6101,3915
6103,1945
6105,186
6107,22386
6109,1190
6111,21876
6113,5310
6115,2403
0,25
8001,32044
8003,682
8005,29769
8007,306
8009,129
8011,392
8013,11949
8014,2243
8015,730
8017,75
8019,208
8021,212
8023,92
8025,1336
8027,91
8029,806
8031,39327
8033,31
8035,11970
8037,2536
8039,695
8041,30761
8043,3278
8045,2490
